total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-7.33525471	8.118021	2197	84	(13, 13, 13)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	30.99	1.0	2.50624	2.50624	2.50624
2	-7.31635431	7.85414824	1331	56	(11, 11, 11)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	42.689	1.0	2.50624	2.50624	2.50624
2	-7.32656582	7.95236282	4913	165	(17, 17, 17)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	70.957	1.0	2.50624	2.50624	2.50624
2	-7.33712475	7.82130204	3375	120	(15, 15, 15)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	78.23	1.0	2.50624	2.50624	2.50624
2	-7.33501602	7.98659517	6859	220	(19, 19, 19)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	92.175	1.0	2.50624	2.50624	2.50624
2	-7.33467687	7.89618149	9261	286	(21, 21, 21)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	112.095	1.0	2.50624	2.50624	2.50624
2	-7.33045801	7.98831947	12167	364	(23, 23, 23)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	120.573	1.0	2.50624	2.50624	2.50624
2	-7.33506301	7.96960996	15625	455	(25, 25, 25)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	122.024	1.0	2.50624	2.50624	2.50624
2	-7.33361321	7.89376196	19683	560	(27, 27, 27)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	176.902	1.0	2.50624	2.50624	2.50624
2	-7.33231997	7.99234627	24389	680	(29, 29, 29)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	194.467	1.0	2.50624	2.50624	2.50624
2	-7.33321994	7.90661833	35937	969	(33, 33, 33)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	211.908	1.0	2.50624	2.50624	2.50624
2	-7.33481272	7.95787263	29791	816	(31, 31, 31)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	214.222	1.0	2.50624	2.50624	2.50624
2	-7.33315441	7.98565584	42875	1140	(35, 35, 35)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	263.893	1.0	2.50624	2.50624	2.50624
2	-7.33445913	7.94572895	50653	1330	(37, 37, 37)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1097.494	1.0	2.50624	2.50624	2.50624
2	-7.33357942	7.98158382	68921	1771	(41, 41, 41)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1262.477	1.0	2.50624	2.50624	2.50624
2	-7.3330714	7.91902659	59319	1540	(39, 39, 39)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1399.965	1.0	2.50624	2.50624	2.50624
